13595;68.4;19.4;12.1;24.1
13593;87.7;12.2;0;18.7
14165;0;69.9;30.1;15.7
13351;99.6;0.4;0;37.6
12307;35.3;64.4;0;12.3
10249;33.4;66.6;0;34.2
12309;27.3;72.4;0;10
10405;42.3;51.1;6.6;26.5
10407;32.9;67.1;0;33.4
10409;51.7;48.3;0;32.8
13599;55.7;39.9;3.9;34.6
13357;100;0;0;35.5
10365;71.4;28.2;0;40.4
13597;59.8;20.6;18.8;32.6
10243;34.8;64.4;0;45.6
14169;0;10.5;89.3;23.2
13355;100;0;0;30.2
10367;42.3;57.4;0;35.4
10245;52;42.5;5.2;34.3
10369;16.3;83.3;0;45.4
12305;45.6;54.3;0;15.1
13359;79.1;19.6;1.3;33.2
10247;43.4;56.6;0;23.4
12351;82.5;17.5;0;16.1
12355;55.8;43.4;0;9.8
12353;80.9;19.1;0;10.6
10178;6.5;64.2;28.8;51.6
12359;68.2;31.9;0;25.4
10179;7.1;82.6;9.5;51.3
12357;55.1;44.9;0;7.4
13051;40.7;57.8;0;23.5
13055;3.7;87.8;8.2;21
13053;16.2;78.2;5.1;18.3
10623;21.8;8.8;67.9;53.1
12526;27.2;51.2;21.2;20.9
12527;19.7;65.9;14.1;12.7
10625;1.4;42.6;55.7;44.8
10627;1.7;43.7;54.4;42.6
10629;1.1;17.4;81.4;39.4
12487;36.8;54.1;0;33.4
13059;27.9;69.8;0;21.3
13057;49.9;50;0;10.8
10585;0.7;72.6;26.5;39.5
12524;38.2;61.3;0;13.4
10587;25.7;50.4;23.6;41.9
12247;7.6;79.5;12.9;23.8
12489;23.1;59.2;0;28.8
10589;49.1;48.6;2.4;44.9
12249;16.9;76.9;6.2;15.5
14195;0;9;90.9;23.5
12051;94;6;0;48.7
14193;10.8;17.9;71.2;34.4
14199;0.5;29.4;70;27.5
12053;100;0;0;34.4
14197;0.6;30.9;68.5;31.3
12055;93.5;6.5;0;38.6
10709;0;11.7;88.3;42.3
10829;58.3;41.6;0;25.7
10437;54.1;45.8;0;33
10711;17.3;7;75.6;52.5
10557;48.4;32.2;18.3;45.6
